,saleprice,lot_frontage,lot_area,overall_qual,overall_cond,year_built,year_remod/add,yr_sold,mas_vnr_area,bsmtfin_sf_1,total_bsmt_sf,frst_flr_sf,sec_flr_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,totrms_abvgrd,fireplaces,garage_area,wood_deck_sf,open_porch_sf,screen_porch,neighborhood,exter_qual,exter_cond,bsmt_exposure,kitchen_qual,garage_finish,heating_qc,fireplace_qu
20,129000,109.0,8724,5,5,1968,1968,2007,0.0,492.0,894.0,894,0,894,0.0,0.0,1,0,3,5,1,450.0,0,0,0,Sawyer,TA,TA,No,TA,Fin,Gd,Po
21,278000,40.0,5664,8,5,2000,2000,2009,0.0,1158.0,1501.0,1659,0,1659,1.0,0.0,2,0,2,5,1,499.0,212,59,0,StoneBr,Gd,TA,No,Ex,Fin,Ex,Ex
22,344133,103.0,12867,8,5,2005,2006,2006,0.0,0.0,1209.0,1209,1044,2253,0.0,0.0,2,1,3,8,1,575.0,243,142,0,NridgHt,Gd,TA,Av,Ex,Fin,Ex,Gd
23,185000,0.0,7980,6,7,1992,2007,2010,0.0,935.0,1168.0,1187,0,1187,1.0,0.0,2,0,3,6,0,420.0,483,21,0,Gilbert,TA,Gd,No,TA,Fin,Ex,None
24,145000,100.0,34650,5,5,1955,1955,2006,0.0,1056.0,1056.0,1056,0,1056,1.0,0.0,1,0,3,5,0,572.0,264,0,0,Gilbert,TA,TA,Mn,TA,Fin,TA,None
25,187500,92.0,10573,6,6,1961,1961,2009,3.0,1312.0,1453.0,1453,0,1453,1.0,0.0,2,0,3,6,1,530.0,0,49,288,NAmes,TA,TA,No,TA,RFn,Ex,TA
26,138500,65.0,8450,5,8,1965,2009,2010,0.0,553.0,894.0,894,0,894,1.0,0.0,1,0,3,5,1,336.0,416,144,0,Sawyer,TA,Gd,No,TA,Unf,Ex,Gd
27,198000,0.0,11700,5,6,1937,1995,2008,0.0,606.0,942.0,1265,673,1938,0.0,0.0,2,0,4,7,1,240.0,0,40,0,Crawfor,TA,TA,No,Gd,Unf,Ex,Gd
28,119600,75.0,8250,5,6,1895,2006,2007,0.0,0.0,957.0,1034,957,1991,0.0,0.0,2,0,4,9,0,0.0,0,0,0,IDOTRR,TA,Gd,No,TA,None,Fa,None
29,122900,60.0,8064,5,7,1949,2006,2007,0.0,0.0,672.0,672,252,924,0.0,0.0,1,0,3,6,1,576.0,0,0,0,NAmes,TA,Gd,Mn,TA,Unf,Ex,Po
30,278000,80.0,9600,8,5,1981,1981,2009,0.0,1104.0,2524.0,2524,0,2524,1.0,0.0,2,1,4,9,1,542.0,474,120,0,NWAmes,Gd,TA,No,Gd,Fin,TA,Gd
31,230000,0.0,11435,8,7,1929,1950,2006,0.0,0.0,792.0,792,725,1517,0.0,0.0,1,0,3,7,2,400.0,0,0,0,Crawfor,TA,TA,No,Gd,Unf,Fa,Gd
32,270000,30.0,9549,8,5,1995,1996,2006,0.0,437.0,1494.0,1494,0,1494,1.0,0.0,1,1,2,6,1,481.0,0,30,216,Veenker,Gd,Gd,Av,Ex,Fin,Ex,Gd
33,125000,60.0,10950,6,6,1952,1952,2007,0.0,441.0,948.0,948,0,948,0.0,0.0,1,0,2,5,0,410.0,0,48,0,NAmes,TA,TA,No,TA,Unf,TA,None
34,297000,79.0,10637,8,5,2007,2008,2009,336.0,1288.0,1705.0,1718,0,1718,1.0,0.0,2,0,3,7,1,826.0,208,44,0,CollgCr,Gd,TA,Gd,Gd,RFn,Ex,Gd
35,113500,80.0,9000,6,6,1958,1958,2009,82.0,0.0,160.0,1142,0,1142,0.0,0.0,1,0,2,5,1,384.0,0,28,0,NAmes,TA,TA,Gd,TA,RFn,Fa,Gd
36,127000,41.0,2665,5,6,1977,1977,2006,0.0,548.0,757.0,925,550,1475,0.0,0.0,2,0,4,6,1,336.0,104,26,0,MeadowV,TA,TA,No,TA,RFn,Ex,TA
37,190000,105.0,11751,6,6,1977,1977,2010,480.0,705.0,1844.0,1844,0,1844,0.0,0.0,2,0,3,7,1,546.0,0,122,0,NWAmes,TA,TA,No,TA,RFn,Ex,TA
38,175500,80.0,9600,7,6,1973,1973,2007,320.0,916.0,1242.0,1242,0,1242,0.0,0.0,1,1,3,6,1,528.0,0,0,0,NWAmes,TA,TA,No,TA,Unf,Fa,TA
39,146000,60.0,8428,5,7,1994,1994,2007,0.0,420.0,990.0,990,0,990,1.0,0.0,1,0,3,5,0,384.0,256,0,0,CollgCr,TA,Gd,No,TA,Unf,Ex,None
40,147500,75.0,9937,5,6,1965,1965,2008,0.0,830.0,1256.0,1256,0,1256,1.0,0.0,1,1,3,6,0,276.0,736,68,0,Edwards,Gd,TA,No,TA,Fin,Gd,None
41,465000,107.0,13891,10,5,2006,2006,2006,0.0,1386.0,2076.0,2076,0,2076,1.0,0.0,2,1,2,7,1,850.0,216,229,0,NridgHt,Ex,TA,Gd,Ex,Fin,Ex,Gd
42,165500,0.0,9101,5,6,1978,1978,2009,104.0,1097.0,1097.0,1110,0,1110,1.0,0.0,1,0,1,4,1,602.0,303,30,0,Mitchel,TA,Gd,Av,Gd,Fin,Ex,TA
43,131500,81.0,12150,5,5,1954,1954,2008,335.0,0.0,1050.0,1050,745,1795,0.0,0.0,2,0,4,7,0,352.0,0,0,0,OldTown,TA,TA,No,TA,Unf,Ex,None
44,129500,70.0,11200,5,5,1965,1965,2008,0.0,906.0,1040.0,1040,0,1040,1.0,0.0,1,0,3,5,0,384.0,0,0,0,Sawyer,TA,TA,No,TA,Unf,Ex,None
45,257076,100.0,9670,8,6,1935,1950,2008,40.0,210.0,608.0,983,890,1873,0.0,0.0,1,1,4,9,2,786.0,0,0,0,Crawfor,TA,TA,No,TA,Fin,TA,Gd
46,117000,60.0,10998,5,5,1941,1960,2009,0.0,408.0,984.0,984,620,1604,0.0,0.0,2,0,3,6,0,660.0,0,68,0,Edwards,TA,TA,No,TA,Unf,Ex,None
47,149000,60.0,7200,7,6,1931,2000,2008,0.0,0.0,776.0,851,651,1502,0.0,0.0,1,1,3,6,1,270.0,0,0,0,Crawfor,TA,Fa,No,TA,RFn,TA,Gd
48,128000,80.0,9920,5,5,1954,1954,2010,110.0,354.0,1056.0,1063,0,1063,1.0,0.0,1,0,3,6,0,280.0,0,0,0,NAmes,TA,TA,No,TA,RFn,TA,None
49,155000,36.0,2448,7,5,2003,2004,2008,106.0,0.0,764.0,764,862,1626,0.0,0.0,2,1,2,6,0,474.0,0,27,0,NridgHt,Gd,TA,No,Gd,RFn,Ex,None
50,166000,0.0,2998,6,5,2000,2000,2006,513.0,353.0,756.0,768,756,1524,0.0,0.0,2,1,2,4,0,440.0,0,32,0,Somerst,Gd,TA,No,Gd,Unf,Ex,None
51,135000,65.0,7804,4,3,1928,1950,2009,0.0,622.0,1122.0,1328,653,1981,1.0,0.0,2,0,4,7,2,576.0,431,44,0,SWISU,TA,TA,No,Gd,Unf,TA,TA
52,250000,80.0,16692,7,5,1978,1978,2006,184.0,790.0,1392.0,1392,1392,2784,1.0,0.0,3,1,5,12,2,564.0,0,112,440,NWAmes,TA,TA,No,Gd,RFn,TA,TA
53,76000,21.0,1476,4,7,1970,1970,2010,0.0,176.0,546.0,546,546,1092,0.0,0.0,1,1,3,5,0,0.0,200,26,0,MeadowV,TA,TA,No,TA,None,Ex,None
54,155000,75.0,10170,6,6,1951,1951,2006,522.0,0.0,216.0,1575,0,1575,0.0,0.0,1,1,2,5,1,400.0,0,0,0,NAmes,TA,TA,No,Gd,Unf,TA,Gd
55,158000,80.0,9364,6,7,1969,1969,2010,143.0,371.0,663.0,663,689,1352,0.0,0.0,1,1,4,7,0,299.0,379,36,0,Sawyer,TA,TA,No,TA,Fin,TA,None
56,149500,24.0,2544,7,5,2004,2005,2010,0.0,368.0,600.0,600,600,1200,1.0,0.0,2,1,2,4,0,480.0,0,172,0,Somerst,Gd,TA,No,Gd,RFn,Ex,None
57,121000,82.0,9888,5,6,1954,1975,2006,0.0,486.0,936.0,936,0,936,0.0,0.0,1,0,2,5,0,240.0,0,0,0,NAmes,TA,Gd,No,TA,Unf,TA,None
58,136000,68.0,7942,6,7,1953,1953,2007,0.0,85.0,1040.0,1040,0,1040,0.0,1.0,1,0,3,6,0,293.0,0,0,0,NAmes,TA,TA,No,TA,Fin,TA,None
59,173000,0.0,15038,6,5,1996,1996,2008,0.0,138.0,916.0,916,720,1636,0.0,0.0,2,1,3,7,1,386.0,168,84,0,Gilbert,TA,TA,No,TA,Fin,Gd,TA
60,290000,92.0,11764,8,7,1999,2007,2010,348.0,524.0,1152.0,1164,1106,2270,0.0,0.0,2,1,4,9,1,671.0,132,57,0,NoRidge,Gd,TA,No,Gd,Fin,Ex,Gd
61,303477,75.0,9000,8,5,2007,2007,2007,0.0,64.0,1184.0,1184,1426,2610,0.0,0.0,2,1,4,11,1,550.0,208,364,0,Somerst,Gd,TA,Av,Ex,Fin,Ex,Gd
62,270000,0.0,20062,7,7,1977,2001,2010,0.0,1092.0,1420.0,1483,0,1483,1.0,0.0,1,1,1,4,2,690.0,496,0,0,ClearCr,Gd,Gd,Gd,TA,RFn,Gd,TA
63,122250,81.0,7308,5,5,1920,1950,2008,0.0,360.0,936.0,960,780,1740,0.0,0.0,1,0,2,6,1,225.0,0,0,0,OldTown,Fa,Fa,No,Ex,Unf,Gd,Gd
64,153000,70.0,8750,5,5,1955,1955,2009,0.0,172.0,1382.0,1382,0,1382,0.0,1.0,1,0,3,6,0,350.0,280,0,0,NAmes,TA,TA,No,Gd,Unf,Gd,None
65,147000,70.0,8402,5,5,2007,2007,2007,0.0,206.0,1120.0,1120,0,1120,0.0,0.0,1,0,3,6,0,0.0,0,30,0,Mitchel,TA,TA,No,TA,None,Ex,None
66,148500,63.0,4000,7,8,1930,1995,2007,0.0,246.0,531.0,567,531,1098,1.0,0.0,1,0,2,5,1,216.0,0,0,0,Crawfor,TA,TA,No,TA,Unf,TA,Gd
67,130000,32.0,3363,7,5,2004,2004,2006,117.0,0.0,976.0,976,732,1708,0.0,0.0,2,0,3,7,0,380.0,0,40,0,Edwards,Gd,TA,No,Gd,Unf,Ex,None
68,372000,94.0,13615,9,5,2006,2006,2007,510.0,0.0,1802.0,1802,0,1802,0.0,0.0,2,1,3,7,1,843.0,158,105,0,NridgHt,Ex,TA,Gd,Ex,Fin,Ex,Gd
69,213490,43.0,3013,7,5,2005,2005,2006,145.0,16.0,1362.0,1506,0,1506,0.0,0.0,2,0,2,6,1,440.0,142,20,0,Blmngtn,Gd,TA,Gd,Gd,Fin,Ex,Gd
70,308030,44.0,17485,7,5,2009,2010,2010,96.0,1346.0,1508.0,1508,0,1508,1.0,0.0,1,0,1,5,2,572.0,0,0,0,Edwards,Gd,TA,Gd,Gd,RFn,Ex,TA
71,300000,0.0,23730,7,5,1996,1997,2008,668.0,700.0,1840.0,2032,0,2032,1.0,0.0,3,0,3,7,0,786.0,0,46,0,Mitchel,Gd,TA,Mn,Gd,Fin,Ex,None
72,159500,79.0,8910,6,6,1959,1959,2006,0.0,655.0,655.0,1194,0,1194,0.0,1.0,1,0,3,6,1,539.0,0,0,0,NAmes,TA,TA,Mn,TA,Fin,Ex,Fa
73,137500,24.0,2522,7,5,2004,2004,2006,50.0,0.0,970.0,970,739,1709,0.0,0.0,2,0,3,7,0,380.0,0,40,0,Edwards,Gd,TA,No,Gd,Unf,Ex,None
74,232000,73.0,8688,7,5,2005,2005,2006,228.0,0.0,1616.0,1616,0,1616,0.0,0.0,2,0,3,7,0,834.0,208,59,0,Somerst,Gd,TA,Av,Gd,RFn,Ex,None
75,93850,0.0,6291,6,6,1930,1950,2008,0.0,0.0,768.0,768,0,768,0.0,0.0,1,0,1,4,0,440.0,0,0,0,IDOTRR,Gd,Gd,No,TA,Unf,TA,None
76,105000,0.0,17529,5,5,1924,1950,2006,65.0,0.0,872.0,872,0,872,0.0,0.0,1,0,2,5,1,322.0,0,0,0,Sawyer,TA,TA,No,Fa,Unf,Fa,Gd
77,68500,60.0,6324,4,6,1927,1950,2008,0.0,0.0,520.0,520,0,520,0.0,0.0,1,0,1,4,0,240.0,49,0,0,BrkSide,TA,TA,No,Fa,Unf,Fa,None
78,154300,80.0,11600,5,5,1960,1960,2010,361.0,443.0,1105.0,1105,1169,2274,0.0,0.0,2,0,5,12,0,480.0,0,0,0,NAmes,TA,TA,No,TA,Unf,TA,None
79,129850,50.0,7288,5,7,1925,2003,2007,0.0,0.0,936.0,936,665,1601,0.0,0.0,2,0,3,6,0,0.0,0,0,0,IDOTRR,Gd,Gd,No,TA,None,Ex,None
80,114000,35.0,4571,5,7,1910,1950,2007,0.0,168.0,616.0,616,616,1232,0.0,0.0,1,0,3,6,0,480.0,280,0,0,OldTown,TA,TA,No,TA,Unf,Ex,None
81,501837,63.0,17423,9,5,2008,2009,2009,748.0,1904.0,2216.0,2234,0,2234,1.0,0.0,2,0,1,9,1,1166.0,0,60,0,StoneBr,Ex,TA,No,Ex,Fin,Ex,Gd
82,153900,100.0,12665,5,8,1915,1950,2008,0.0,0.0,876.0,876,540,1416,0.0,0.0,1,1,4,7,1,720.0,418,0,0,OldTown,TA,TA,Mn,TA,Unf,Gd,Gd
83,130000,60.0,9000,4,7,1971,2006,2009,0.0,240.0,864.0,864,0,864,0.0,0.0,1,0,3,5,0,576.0,200,0,0,NAmes,TA,Gd,No,TA,Unf,Gd,None
84,160500,32.0,4500,6,5,1997,1997,2008,197.0,864.0,1189.0,1189,0,1189,1.0,0.0,2,0,2,4,0,392.0,0,122,0,Mitchel,TA,TA,No,TA,RFn,Ex,None
85,310090,48.0,6373,9,5,2006,2006,2006,572.0,415.0,1666.0,1666,0,1666,1.0,0.0,2,0,2,6,1,575.0,228,75,0,NridgHt,Ex,TA,No,Gd,RFn,Ex,Gd
86,184900,67.0,10083,7,5,2003,2003,2009,0.0,833.0,1176.0,1200,0,1200,1.0,0.0,2,0,2,5,0,555.0,0,41,0,SawyerW,Gd,TA,No,Gd,RFn,Ex,None
87,132000,70.0,13300,5,7,1956,2000,2007,0.0,377.0,928.0,928,0,928,0.0,0.0,1,0,2,4,0,252.0,261,0,0,NAmes,TA,TA,No,TA,Unf,TA,None
88,163000,80.0,9600,5,5,1969,1969,2009,128.0,553.0,1288.0,1336,0,1336,0.0,1.0,2,0,3,6,1,502.0,312,11,0,NWAmes,TA,TA,Mn,TA,RFn,TA,Fa
89,155000,30.0,3215,7,5,2004,2004,2010,120.0,280.0,600.0,600,600,1200,0.0,0.0,2,1,2,4,0,480.0,0,172,0,Somerst,Gd,TA,Av,Gd,RFn,Ex,None
90,183000,0.0,11104,6,6,1969,1969,2008,0.0,828.0,1427.0,1427,0,1427,0.0,1.0,2,0,4,7,0,516.0,0,0,216,NWAmes,TA,TA,Av,TA,RFn,Gd,None
91,211000,0.0,15295,7,5,1996,2002,2007,254.0,762.0,860.0,1212,780,1992,1.0,0.0,2,1,3,7,2,608.0,225,32,0,CollgCr,Gd,TA,Mn,Gd,RFn,Ex,TA
92,184000,70.0,9109,7,5,1994,1994,2009,0.0,36.0,754.0,754,786,1540,1.0,0.0,2,1,3,6,0,495.0,140,32,0,SawyerW,Gd,TA,No,Gd,RFn,Ex,None
93,118858,64.0,7018,5,5,1979,1979,2009,0.0,0.0,0.0,1535,0,1535,0.0,0.0,2,0,4,8,0,400.0,0,0,0,SawyerW,TA,TA,No,TA,Unf,TA,None
94,180500,0.0,14112,5,7,1964,1964,2010,86.0,1014.0,1152.0,1152,0,1152,1.0,0.0,1,0,3,6,1,484.0,227,0,0,NAmes,TA,TA,Av,TA,RFn,TA,Gd
95,166000,80.0,3523,8,5,2006,2007,2007,30.0,60.0,1141.0,1151,0,1151,1.0,0.0,2,0,2,5,0,484.0,0,60,0,Somerst,Gd,TA,No,Gd,Fin,Ex,None
96,148000,88.0,15312,6,5,1960,1960,2009,54.0,588.0,1138.0,1138,0,1138,0.0,1.0,1,0,3,6,1,480.0,0,0,140,Sawyer,TA,TA,Av,TA,RFn,Ex,TA
97,124000,74.0,7450,5,5,1956,1956,2007,0.0,438.0,894.0,1074,0,1074,0.0,0.0,1,0,2,6,1,396.0,0,72,0,NAmes,TA,TA,No,Gd,Unf,Gd,Gd
98,277500,60.0,7313,9,5,2005,2005,2007,246.0,1153.0,1561.0,1561,0,1561,1.0,0.0,2,0,2,6,1,556.0,203,47,0,NridgHt,Ex,TA,No,Ex,Fin,Ex,Gd
99,350000,83.0,10019,8,5,1995,1995,2006,397.0,527.0,1342.0,1358,1368,2726,0.0,0.0,2,1,4,9,1,725.0,307,169,0,NoRidge,Gd,TA,No,Gd,RFn,Ex,Ex
100,387000,53.0,15401,9,5,2004,2004,2008,296.0,1337.0,1884.0,1884,0,1884,1.0,0.0,2,0,2,7,1,670.0,214,76,0,StoneBr,Ex,TA,Gd,Ex,Fin,Ex,Gd
101,86000,58.0,9098,4,7,1920,2002,2007,0.0,348.0,528.0,605,0,605,1.0,0.0,1,0,2,5,0,0.0,0,0,0,Edwards,TA,TA,Mn,TA,None,Ex,None
102,290000,103.0,16280,8,9,1976,2007,2008,0.0,1044.0,1426.0,1671,0,1671,1.0,0.0,3,0,3,6,1,550.0,280,90,0,Veenker,Ex,Ex,Mn,Ex,RFn,Ex,Gd
103,44000,72.0,9392,3,3,1900,1950,2009,0.0,0.0,245.0,797,0,797,0.0,0.0,1,0,2,5,0,0.0,0,36,0,IDOTRR,TA,Fa,No,TA,None,TA,None
104,215000,71.0,12209,6,5,2001,2002,2009,0.0,690.0,804.0,804,1157,1961,1.0,0.0,2,1,3,7,1,560.0,125,192,0,Mitchel,TA,TA,No,Gd,Fin,Ex,TA
105,146500,79.0,13110,5,6,1972,1972,2006,144.0,962.0,1153.0,1193,0,1193,1.0,0.0,2,0,2,6,0,501.0,140,153,0,NWAmes,TA,TA,No,TA,Fin,Ex,None
106,165000,0.0,2651,7,5,2000,2000,2006,0.0,641.0,673.0,673,709,1382,1.0,0.0,2,1,3,6,0,490.0,153,50,0,Somerst,Gd,TA,No,Gd,Unf,Ex,None
107,136000,60.0,8520,6,7,1916,1950,2007,0.0,168.0,714.0,1664,862,2526,0.0,0.0,2,0,5,10,1,216.0,88,15,0,OldTown,TA,Gd,No,Gd,Unf,TA,Gd
108,252000,0.0,39384,6,6,1957,1957,2006,902.0,1110.0,1705.0,1390,0,1390,1.0,0.0,1,1,1,4,2,550.0,0,189,0,NAmes,TA,TA,Gd,Ex,Unf,Ex,Gd
109,175500,36.0,2628,7,5,2003,2003,2010,106.0,0.0,764.0,764,862,1626,0.0,0.0,2,1,2,6,0,474.0,0,27,0,NridgHt,Gd,TA,No,Gd,RFn,Ex,None
110,150000,57.0,6406,5,6,1939,1950,2009,0.0,421.0,690.0,868,690,1558,0.0,0.0,1,1,3,7,1,400.0,0,36,182,OldTown,TA,TA,No,TA,Unf,TA,Gd
111,139900,0.0,12342,5,5,1960,1978,2007,0.0,0.0,978.0,1422,0,1422,0.0,0.0,1,0,3,6,1,286.0,0,0,0,NAmes,TA,TA,No,TA,RFn,TA,TA
112,162900,52.0,6240,5,7,1930,1992,2008,0.0,0.0,1078.0,1128,445,1573,0.0,0.0,2,0,3,8,1,360.0,0,0,0,BrkSide,TA,TA,No,TA,Unf,TA,Gd
113,160000,87.0,10000,6,6,1962,1962,2010,261.0,0.0,1116.0,1116,0,1116,0.0,0.0,1,1,3,5,0,440.0,0,0,385,NAmes,TA,TA,No,TA,Unf,TA,None
114,63900,0.0,9000,2,2,1947,1950,2009,0.0,0.0,0.0,660,0,660,0.0,0.0,1,0,2,5,0,0.0,0,0,0,Sawyer,TA,TA,No,Fa,None,Fa,None
115,184000,80.0,11088,6,5,1978,1998,2009,144.0,832.0,1140.0,1707,0,1707,0.0,0.0,2,0,3,7,1,479.0,0,0,0,NWAmes,TA,TA,No,TA,Fin,Gd,TA
116,149900,134.0,17755,5,4,1959,1959,2006,132.0,176.0,1466.0,1466,0,1466,0.0,0.0,1,1,3,6,2,528.0,0,140,100,Edwards,TA,TA,No,Fa,Fin,TA,Gd
117,300000,0.0,4765,9,5,2000,2000,2008,260.0,1027.0,1614.0,1638,0,1638,1.0,0.0,2,0,2,5,1,495.0,230,68,0,Somerst,Gd,TA,Av,Ex,Fin,Ex,TA
118,145000,0.0,10532,5,3,1960,1960,2008,275.0,988.0,988.0,1721,0,1721,1.0,0.0,2,0,3,7,2,626.0,50,84,0,ClearCr,TA,TA,Mn,TA,Unf,Gd,TA
119,231500,65.0,15426,6,5,1997,1997,2009,0.0,821.0,928.0,928,836,1764,1.0,0.0,2,1,3,7,0,470.0,276,99,0,CollgCr,TA,TA,No,Gd,RFn,Ex,None
120,108000,63.0,13907,5,6,1940,1969,2008,0.0,290.0,996.0,996,0,996,1.0,0.0,1,0,3,6,1,0.0,144,0,0,Edwards,TA,TA,No,TA,None,Ex,Gd
121,120000,70.0,8750,5,5,1956,1956,2009,0.0,435.0,1202.0,1202,0,1202,0.0,1.0,1,0,3,6,0,304.0,0,35,0,NAmes,TA,TA,No,TA,RFn,TA,None
122,128500,0.0,9945,5,5,1961,1961,2007,57.0,827.0,988.0,988,0,988,1.0,0.0,1,0,3,5,0,572.0,0,0,0,Sawyer,TA,TA,No,TA,Unf,TA,None
123,115000,56.0,8960,5,6,1927,1950,2010,0.0,0.0,1008.0,1028,0,1028,0.0,0.0,1,0,2,5,1,360.0,0,0,0,OldTown,TA,TA,No,TA,Unf,Gd,Gd
124,110000,50.0,3500,5,7,1947,1950,2009,0.0,312.0,720.0,720,564,1284,0.0,0.0,1,1,2,5,0,240.0,0,35,0,OldTown,TA,TA,No,TA,Unf,TA,None
125,150000,0.0,24572,9,3,1977,1977,2008,1050.0,410.0,994.0,1599,1345,2944,0.0,0.0,2,2,3,9,1,864.0,140,70,0,Veenker,Gd,Gd,No,Gd,RFn,TA,Gd
126,178000,74.0,9056,8,5,2004,2004,2006,0.0,0.0,707.0,707,707,1414,0.0,0.0,2,1,3,6,1,403.0,100,35,0,Gilbert,Gd,TA,Av,Gd,Fin,Ex,Gd
127,199500,70.0,12320,7,7,1932,1990,2006,0.0,0.0,637.0,959,650,1609,0.0,0.0,1,1,3,8,2,579.0,0,0,104,Crawfor,TA,TA,No,Gd,Unf,Ex,Gd
128,183500,60.0,8238,6,5,1997,1998,2006,0.0,700.0,813.0,813,712,1525,1.0,0.0,2,1,3,6,1,400.0,421,72,0,Gilbert,TA,TA,No,TA,Fin,Ex,TA
129,126000,75.0,6000,5,5,1967,1967,2008,0.0,257.0,624.0,1092,564,1656,0.0,0.0,1,1,3,7,1,288.0,0,180,100,IDOTRR,Fa,TA,Mn,TA,Unf,Ex,Po
130,148500,24.0,2529,7,6,1977,1977,2008,0.0,378.0,1055.0,1055,0,1055,0.0,0.0,2,0,2,4,0,440.0,0,38,0,NPkVill,TA,TA,No,TA,Unf,Fa,None
131,149000,60.0,10800,5,7,1939,2006,2009,0.0,0.0,676.0,676,676,1352,0.0,1.0,2,0,4,7,0,720.0,187,0,0,OldTown,TA,Gd,No,Gd,Unf,Ex,None
132,137900,24.0,2349,6,5,1977,1977,2009,0.0,389.0,855.0,855,601,1456,0.0,0.0,2,1,3,6,1,440.0,0,28,0,NPkVill,TA,TA,No,TA,Unf,TA,TA
